year,name,position,heightinchestotal,weight,arms,hands,fortyyd,twentyss,threecone,vertical,broad,round,college,pick,pickround,picktotal,wonderlic,nflgrade
2014,Blake Bortles,QB,77,232,0,0,4.93,4.21,7.08,32.5,115,1,Central Florida,0,3,3,0,6.4
2014,Tajh Boyd,QB,73,222,0,0,4.84,4.23,7.33,30.5,106,7,Clemson,0,21,213,0,5.4
2014,Teddy Bridgewater,QB,74,214,0,0,0,4.2,7.17,30,113,1,Louisville,0,32,32,0,6.3
2014,Derek Carr,QB,74,214,0,0,4.69,4.2,0,34.5,110,2,Fresno St.,0,4,36,0,5.8
2014,David Fales,QB,74,212,0,0,4.99,4.5,7.55,28,103,6,San Jose St.,0,23,183,0,5.2
2014,Jimmy Garoppolo,QB,74,226,0,0,4.97,4.26,7.04,30.5,110,2,Eastern Illinois,0,30,62,0,5.4
2014,Jordan Lynch,QB,72,217,0,0,4.76,4.2,6.55,29.5,109,0,Northern Illinois,0,0,0,0,5
2014,Johnny Manziel,QB,72,207,0,0,4.68,4.03,6.75,31.5,113,1,Texas A&M,0,22,22,0,5.9
2014,Jeff Mathews,QB,76,223,0,0,5.26,4.36,7.14,25.5,105,0,Cornell,0,0,0,0,5.2
2014,AJ McCarron,QB,75,220,0,0,4.94,4.34,7.18,28,99,6,Alabama,0,4,164,0,5.6
2014,Zach Mettenberger,QB,77,224,0,0,0,0,0,0,0,6,LSU,0,18,178,0,5.3
2014,Stephen Morris,QB,74,213,0,0,4.63,4.49,7.36,30,111,0,Miami,0,0,0,0,5.3
2014,Aaron  Murray,QB,73,207,0,0,0,0,0,0,0,6,Georgia,0,3,163,0,5.2
2014,Bryn Renner,QB,75,228,0,0,4.87,4.3,7.22,25.5,108,0,North Carolina,0,0,0,0,5.1
2014,Tom Savage,QB,76,228,0,0,4.97,4.36,7.33,27,105,5,Pittsburgh,0,7,135,0,5.2
2014,Connor Shaw,QB,72,206,0,0,4.66,4.33,7.07,34,116,0,South Carolina,0,0,0,0,5
2014,Logan Thomas,QB,78,248,0,0,4.61,4.18,7.05,35.5,118,4,Virginia Tech,0,24,120,0,5.4
2014,Dustin Vaughan,QB,77,235,0,0,4.95,4.43,7.25,29,108,0,West Texas A&M,0,0,0,0,4.8
2014,Keith Wenning,QB,75,218,0,0,5,4.25,7.07,28,100,7,Ball St.,0,2,194,0,5
2013,Tyler Bray,QB,78,232,33,9.25,5.05,4.51,7.2,0,100,0,,,0,0,0,0
2013,Colby Cameron,QB,74,212,32,9,4.78,4.28,6.98,30.5,112,0,,,0,0,0,0
2013,Zac Dysert,QB,75,231,32.625,9.125,0,0,0,0,0,7,Miami (OH),28(234),28,234,0,0
2013,Mike Glennon,QB,79,225,33.125,9.625,4.94,4.52,7.49,26.5,102,3,North Carolina State,11(73),11,73,0,0
2013,Marqueis Gray,QB,75,240,34,9.875,4.73,4.3,7.25,30,111,0,,,0,0,0,0
2013,Landry Jones,QB,76,225,33,9.125,5.11,4.3,7.12,31,115,4,Oklahoma,18(115),18,115,0,0
